S.No,Equipments,Make,System Description,Qty,Cost in Rs,Date of Purchase,Stock Register Page No
1,Desktop System,ACER,"Core i5-2320 2nd Gen / 4GB/500GB/18.5""",7,"1,80,250 (7*25,750)",08.11.2011,20
2,Desktop System,ACER,"Core i5-2320 2nd Gen / 4GB/500GB/18.5""",15,"3,86,250 (15*25,750)",08.12.2011,21
3,Desktop System,HCL,"Core i5-2320 2nd Gen / 4GB/500GB/18.5""",4,"1,18,000 (4*29,500)",24.02.2012,23
4,Desktop System,HP,"Core i5-2320 2nd Gen / 4GB/500GB/18.5""",8,"2,72,000 (8*34,000)",09.10.2012,26
5,Desktop System,ACER,"Intel Core2 Quad @ 2.33 GHZ/ 2GB/320GB/18.5""",2,"44,800 (2*22,400)",28.10.2009,8
6,Pen Tablet,Wacom One,Wacom One Display Pen Tablet,2,"63,998 (2*31,999)",28.09.2020,37
7,Pen Tablet,Wacom One,Wacom One Display Pen Tablet,1,"31,999",28.12.2020,41
8,Printer,HP,HP LaserJet – M1005 Printer,1,"12,700",26.10.2015,30
9,Headset,Logitech,Logitech Headset,2,"2,993 (2*1,26)",02.12.2020,39
10,Web Camera,Logitech,Logitech Wide Angle Camera,2,"20,532 (2*10,266)",08.10.2020,38
11,Web Camera,Microsoft,Microsoft Web Camera – VK700,2,"1,500",12.08.2011,15
12,Camera Stand,-,Camera Tripod Stand – TYFY555,2,"3,000 (2*1,500)",02.12.2020,40
13,Wireless Mic,Studio Master,Studio Master Caller Mic – ER58/EL 58,1,"5,350",10.12.2015,32
14,Amplifier,Studio Master,Studio Master Amplifier – ARC 120A 200W,1,"13,511",20.03.2018,33
15,Multimedia,-,Establishment of IIT Bombay – Remote centre,-,"1,22,400",02.09.2013,29
16,UPS,Numeric,10 KVA UPS – Numeric,1,"1,37,500",25.06.2007,4
17,UPS,Numeric,10 KVA UPS – Numeric,1,"1,50,000",10.01.2012,24
18,Network,D-Link,Establishment of Structured Cable,-,"1,36,000",13.10.2011,19
19,Network,-,Establishment of Cisco Networking Academy,-,"4,28,000",24.12.2010,1
20,Switch,HP,HP 24 Port Gigabit Switch,1,"12,850",02.09.2013,28
21,AC,Carrier,2TR – Carrier Inverter 3 Star Split AC with 5KVA V-Guard Stabilizer,1,"48,350",24.02.2020,35
22,AC Outdoor Unit,Totaline,2TR Outdoor AC Unit,1,"24,700",26.02.2020,36
23,Fire Extinguisher,-,Fire Extinguisher - DCP 5Kg,1,"1856",04.07.2011,14
24,Projector,BenQ,Benq Projector LW550,1,"49,664",01.03.2024,44
25,Interactive Display,BenQ,Benq Projector Interactive Flat Panel RE 7504,1,"1,46,434",18.10.2024,45